payload_type,payload_bytes,preset,container_bytes,deflated_bytes,compressed,compression_ratio,container_overhead_factor,deflate_ratio,image_embed_time_s,video_embed_time_s
text_file,4017,chat_hd,440,261,1,9.129545454545454,0.1095344784665173,15.39080459770115,0.5966769456863403,0.7159609794616699
text_file,8034,no_compression,9333,8034,0,0.8608164577306332,1.1616878267363704,28.48936170212766,1.0324790477752686,0.9395999908447266
text_file,8034,chat_standard,461,282,1,17.427331887201735,0.05738113019666418,28.48936170212766,0.607650876045227,0.7162082195281982
text_file,8034,chat_hd,461,282,1,17.427331887201735,0.05738113019666418,28.48936170212766,0.5966769456863403,0.7159609794616699
text_file,16377,no_compression,18860,16377,0,0.8683457051961824,1.1516150699151249,49.92987804878049,1.0324790477752686,0.9395999908447266
text_file,16377,chat_standard,507,328,1,32.30177514792899,0.030958050925077852,49.92987804878049,0.607650876045227,0.7162082195281982
text_file,16377,chat_hd,507,328,1,32.30177514792899,0.030958050925077852,49.92987804878049,0.5966769456863403,0.7159609794616699
text_file,32754,no_compression,37573,32754,0,0.8717430069464775,1.147127068449655,80.47665847665847,1.0324790477752686,0.9395999908447266
text_file,32754,chat_standard,586,407,1,55.89419795221843,0.017890944617451304,80.47665847665847,0.607650876045227,0.7162082195281982
text_file,32754,chat_hd,586,407,1,55.89419795221843,0.017890944617451304,80.47665847665847,0.5966769456863403,0.7159609794616699
image,120,no_compression,263,120,0,0.45627376425855515,2.191666666666667,1.0,1.0324790477752686,0.9395999908447266
image,120,chat_standard,263,120,0,0.45627376425855515,2.191666666666667,1.0,0.607650876045227,0.7162082195281982
image,120,chat_hd,263,120,0,0.45627376425855515,2.191666666666667,1.0,0.5966769456863403,0.7159609794616699
image,120,no_compression,263,120,0,0.45627376425855515,2.191666666666667,1.0,1.0324790477752686,0.9395999908447266
image,120,chat_standard,263,120,0,0.45627376425855515,2.191666666666667,1.0,0.607650876045227,0.7162082195281982
image,120,chat_hd,263,120,0,0.45627376425855515,2.191666666666667,1.0,0.5966769456863403,0.7159609794616699
