payload_type,preset,median_deflate_ratio,p10_deflate_ratio,p90_deflate_ratio,n,median_container_bytes,median_overhead_factor,median_compression_ratio,median_image_embed_time_s,median_video_embed_time_s
image,chat_hd,1.0,1.0,1.0,2,263.0,2.191666666666667,0.45627376425855515,0.5966769456863403,0.7159609794616699
image,chat_standard,1.0,1.0,1.0,2,263.0,2.191666666666667,0.45627376425855515,0.607650876045227,0.7162082195281982
image,no_compression,1.0,1.0,1.0,2,263.0,2.191666666666667,0.45627376425855515,1.0324790477752686,0.9395999908447266
text_file,chat_hd,1.3473684210526315,1.0,41.35367151011935,15,337.0,1.31640625,0.7596439169139466,0.5966769456863403,0.7159609794616699
text_file,chat_standard,1.3473684210526315,1.0,41.35367151011935,15,337.0,1.31640625,0.7596439169139466,0.607650876045227,0.7162082195281982
text_file,no_compression,1.3473684210526315,1.0,41.35367151011935,15,435.0,1.69921875,0.5885057471264368,1.0324790477752686,0.9395999908447266
text_message,chat_hd,1.058139534883721,1.0,9.127631578947366,8,212.0,2.32967032967033,0.42924528301886794,0.5966769456863403,0.7159609794616699
text_message,chat_standard,1.058139534883721,1.0,9.127631578947366,8,212.0,2.32967032967033,0.42924528301886794,0.607650876045227,0.7162082195281982
text_message,no_compression,1.058139534883721,1.0,9.127631578947366,8,217.0,2.3846153846153846,0.41935483870967744,1.0324790477752686,0.9395999908447266
